flux0,flux2,id,x,y,z
4.5051189302219,-0.23728773646659,0,0,0,0
4.6135468101694,-0.26552441277317,0.050505050505051,0.050505050505051,0,0
4.7197412145151,-0.29279202728701,0.1010101010101,0.1010101010101,0,0
4.8237034770415,-0.31911824981304,0.15151515151515,0.15151515151515,0,0
4.9254349027538,-0.344529802827,0.2020202020202,0.2020202020202,0,0
5.024936760283,-0.36905248694947,0.25252525252525,0.25252525252525,0,0
5.1222102836015,-0.39271120652121,0.3030303030303,0.3030303030303,0,0
5.217256673841,-0.41552999500603,0.35353535353535,0.35353535353535,0,0
5.3100771013574,-0.43753203751975,0.4040404040404,0.4040404040404,0,0
5.40067270385,-0.45873969256442,0.45454545454545,0.45454545454545,0,0
5.4890445868254,-0.47917451763171,0.50505050505051,0.50505050505051,0,0
5.5751938237083,-0.49885729281674,0.55555555555556,0.55555555555556,0,0
5.6591214580163,-0.51780803926188,0.60606060606061,0.60606060606061,0,0
5.740828501726,-0.53604603792538,0.65656565656566,0.65656565656566,0,0
5.820315937463,-0.55358984835883,0.70707070707071,0.70707070707071,0,0
5.8975847168792,-0.57045732738118,0.75757575757576,0.75757575757576,0,0
5.9726357631108,-0.58666564836993,0.80808080808081,0.80808080808081,0,0
6.0454699700025,-0.60223131770701,0.85858585858586,0.85858585858586,0,0
6.1160881995819,-0.61717018831125,0.90909090909091,0.90909090909091,0,0
6.1844912882006,-0.63149747686926,0.95959595959596,0.95959595959596,0,0
6.25068004259,-0.64522778100258,1.010101010101,1.010101010101,0,0
6.3146552411181,-0.65837509365635,1.0606060606061,1.0606060606061,0,0
6.3764176333524,-0.67095281639793,1.1111111111111,1.1111111111111,0,0
6.4359679420704,-0.68297377324126,1.1616161616162,1.1616161616162,0,0
6.4933068610828,-0.69445022462904,1.2121212121212,1.2121212121212,0,0
6.5484350555317,-0.70539387731592,1.2626262626263,1.2626262626263,0,0
6.6013531644648,-0.71581589418118,1.3131313131313,1.3131313131313,0,0
6.6520618012972,-0.7257269074408,1.3636363636364,1.3636363636364,0,0
6.700561552158,-0.73513703108538,1.4141414141414,1.4141414141414,0,0
6.746852975717,-0.74405586921703,1.4646464646465,1.4646464646465,0,0
6.790936605115,-0.75249252581313,1.5151515151515,1.5151515151515,0,0
6.8328129451065,-0.76045561607016,1.5656565656566,1.5656565656566,0,0
6.8724824757153,-0.76795327467055,1.6161616161616,1.6161616161616,0,0
6.9099456526393,-0.77499316236966,1.6666666666667,1.6666666666667,0,0
6.9452029029739,-0.78158247195793,1.7171717171717,1.7171717171717,0,0
6.9782546285587,-0.7877279351442,1.7676767676768,1.7676767676768,0,0
7.0091012071086,-0.79343583141815,1.8181818181818,1.8181818181818,0,0
7.0377429907644,-0.79871199551133,1.8686868686869,1.8686868686869,0,0
7.0641803046518,-0.80356182039876,1.9191919191919,1.9191919191919,0,0
7.0884134494322,-0.807990261728,1.969696969697,1.969696969697,0,0
7.1104427003169,-0.81200184526816,2.020202020202,2.020202020202,0,0
7.1302683068679,-0.8156006726071,2.0707070707071,2.0707070707071,0,0
