flux0_1,flux0_2,flux0_3,flux2_1,flux2_2,flux2_3,id,x,y,z
5.0330928405486e-08,0.0043542585424052,0.065448263333206,1.5479417698842e-09,6.1193594044657e-07,8.0004517635144e-06,36.555110220441,0,36.555110220441,0
6.4607801911921e-08,0.0046228532832257,0.069485335493716,1.9870310046929e-09,6.4964089946081e-07,8.4937981251479e-06,38.705410821643,0,38.705410821643,0
8.2911982027255e-08,0.0048954342073116,0.073582136184164,2.549981179857e-09,6.8804511730164e-07,8.9942462124544e-06,40.855711422846,0,40.855711422846,0
1.0637457054123e-07,0.0051722351132672,0.077742156940891,3.2715796470245e-09,7.271868370238e-07,9.5021985991204e-06,43.006012024048,0,43.006012024048,0
1.3644301792433e-07,0.0054534942445902,0.081968941305532,4.1963431499477e-09,7.6711589443347e-07,1.0018048438223e-05,45.156312625251,0,45.156312625251,0
1.7499540846412e-07,0.0057394665159679,0.086266265916677,5.3820326957838e-09,8.0789641532958e-07,1.05421987351e-05,47.306613226453,0,47.306613226453,0
2.2476786266849e-07,0.0060305330736165,0.090639773718645,6.9127984354538e-09,8.4962986402854e-07,1.1075247504091e-05,49.456913827655,0,49.456913827655,0
2.8861634886183e-07,0.0063268173473899,0.095091228954052,8.876476472972e-09,8.9238490961233e-07,1.1617313290577e-05,51.607214428858,0,51.607214428858,0
3.705022908632e-07,0.0066285796413993,0.099624414649479,1.1394901505048e-08,9.3627306114557e-07,1.2168720292882e-05,53.75751503006,0,53.75751503006,0
4.754972013208e-07,0.0069360870908566,0.10424317862696,1.4624049320585e-08,9.8142953092484e-07,1.2729760218777e-05,55.907815631263,0,55.907815631263,0
6.1009258909748e-07,0.0072496144685378,0.10895143552418,1.8763568088931e-08,1.0280191666378e-06,1.3300681754382e-05,58.058116232465,0,58.058116232465,0
7.825960948669e-07,0.0075694451663624,0.1137531685234,2.4068961620858e-08,1.0762441531912e-06,1.3881676878868e-05,60.208416833667,0,60.208416833667,0
1.0036377754854e-06,0.0078958723973576,0.11865243069697,3.0867160285913e-08,1.1263539319086e-06,1.4472863189158e-05,62.35871743487,0,62.35871743487,0
1.2886544517209e-06,0.008229368545,0.12365580771265,3.9632927821155e-08,1.1787176737707e-06,1.5074496648017e-05,64.509018036072,0,64.509018036072,0
1.6548510953562e-06,0.0085701493337617,0.12876596870023,5.0895407942279e-08,1.2337028527069e-06,1.5686291797337e-05,66.659318637275,0,66.659318637275,0
2.1245342603172e-06,0.0089185021109696,0.13398648952906,6.5340644949604e-08,1.2917867499783e-06,1.630789285053e-05,68.809619238477,0,68.809619238477,0
2.7268089543477e-06,0.0092747800123114,0.13932170890486,8.3863771490662e-08,1.3535884936993e-06,1.6938796136416e-05,70.959919839679,0,70.959919839679,0
3.4989315011801e-06,0.0096393584845595,0.14477603030659,1.0761061621439e-07,1.4198888601721e-06,1.7578217223332e-05,73.110220440882,0,73.110220440882,0
4.4885840065498e-06,0.010012639926956,0.15035391667413,1.3804765560906e-07,1.49167468112e-06,1.8225010170487e-05,75.260521042084,0,75.260521042084,0
5.7567813847642e-06,0.010395059549351,0.15605988264652,1.7705142041689e-07,1.5701954324627e-06,1.8877564353533e-05,77.410821643287,0,77.410821643287,0
7.3879755954666e-06,0.010787235129144,0.16190041086502,2.2721925425965e-07,1.6571799725163e-06,1.9533681655945e-05,79.561122244489,0,79.561122244489,0
9.4882196185016e-06,0.011189736389459,0.16788054919687,2.9181284617258e-07,1.7547653353255e-06,2.0190228426261e-05,81.711422845691,0,81.711422845691,0
1.2182185024264e-05,0.011603001023802,0.17400275010787,3.7466650514684e-07,1.8654240151306e-06,2.0843101980361e-05,83.861723446894,0,83.861723446894,0
1.5636900617897e-05,0.012027699901652,0.18027157502425,4.8091724876646e-07,1.9924736162159e-06,2.1486968160355e-05,86.012024048096,0,86.012024048096,0
2.0066186066076e-05,0.012464602088169,0.18669152457753,6.171411606392e-07,2.1401370347683e-06,2.2114845768283e-05,88.162324649299,0,88.162324649299,0
2.5743710891778e-05,0.012914599949032,0.19326699101231,7.9175502343034e-07,2.3137903657894e-06,2.271764735325e-05,90.312625250501,0,90.312625250501,0
