flux0_1,flux0_2,flux2_1,flux2_2,id,x,y,z
0.0010035726502816,0.0013691619392195,3.3211136567772e-05,1.3184637570681e-06,49.121052631579,49.121052631579,10.71,0
0.00095419792491334,0.0013152069853783,3.1589684992507e-05,1.3454341111787e-06,49.282105263158,49.282105263158,10.71,0
0.00090878037134756,0.0012640239731526,3.009539453155e-05,1.3595842831011e-06,49.443157894737,49.443157894737,10.71,0
0.00086846955139334,0.0012164181539634,2.8765205597879e-05,1.3571899988933e-06,49.604210526316,49.604210526316,10.71,0
0.00082815873143911,0.0011688123347742,2.7435016664209e-05,1.3547957146855e-06,49.765263157895,49.765263157895,10.71,0
0.00078784791148488,0.0011212065155851,2.6104827730538e-05,1.3524014304777e-06,49.926315789474,49.926315789474,10.71,0
0.00074912660910099,0.0010749215735388,2.4826490150298e-05,1.3462892914913e-06,50.087368421053,50.087368421053,10.71,0
0.00071616294354727,0.0010334720534785,2.373602130418e-05,1.3270586507488e-06,50.248421052632,50.248421052632,10.71,0
0.00068319927799355,0.00099202253341811,2.2645552458063e-05,1.3078280100064e-06,50.409473684211,50.409473684211,10.71,0
0.00065023561243984,0.00095057301335774,2.1555083611945e-05,1.288597369264e-06,50.570526315789,50.570526315789,10.71,0
0.00061737007056268,0.00090921906413267,2.0467842977907e-05,1.2692335971732e-06,50.731578947368,50.731578947368,10.71,0
0.00059071829386448,0.0008739172192451,1.9585031616284e-05,1.241439169346e-06,50.892631578947,50.892631578947,10.71,0
0.00056406651716628,0.00083861537435752,1.8702220254662e-05,1.2136447415189e-06,51.053684210526,51.053684210526,10.71,0
0.00053741474046809,0.00080331352946995,1.781940889304e-05,1.1858503136917e-06,51.214736842105,51.214736842105,10.71,0
0.00051076296376989,0.00076801168458237,1.6936597531417e-05,1.1580558858646e-06,51.375789473684,51.375789473684,10.71,0
0.00048625291002584,0.00073498768982355,1.6124517900537e-05,1.1286715274196e-06,51.536842105263,51.536842105263,10.71,0
0.00046489105241817,0.00070539748181341,1.5416445042231e-05,1.0975349035963e-06,51.697894736842,51.697894736842,10.71,0
0.00044354399551751,0.00067582660157658,1.4708862554155e-05,1.0664118268756e-06,51.858947368421,51.858947368421,10.71,0
0.00042219693861686,0.00064625572133975,1.4001280066078e-05,1.0352887501549e-06,52.02,52.02,10.71,0
0.0004008498817162,0.00061668484110292,1.3293697578002e-05,1.0041656734341e-06,52.181052631579,52.181052631579,10.71,0
0.00038296248579558,0.0005912100346337,1.2700643712318e-05,9.7332537587501e-07,52.342105263158,52.342105263158,10.71,0
0.00036592454174116,0.00056674093870261,1.2135710102516e-05,9.4255450919015e-07,52.503157894737,52.503157894737,10.71,0
0.00034888659768674,0.00054227184277152,1.1570776492715e-05,9.117836425053e-07,52.664210526316,52.664210526316,10.71,0
0.00033182018831643,0.00051776304650094,1.1004899276714e-05,8.809694355596e-07,52.825263157895,52.825263157895,10.71,0
0.00031496561348373,0.00049350519691917,1.0446039885987e-05,8.5017362892438e-07,52.986315789474,52.986315789474,10.71,0
0.00030119943209389,0.00047315376399078,9.9895195154136e-06,8.2133973629214e-07,53.147368421053,53.147368421053,10.71,0
0.00028751665502563,0.00045291986795804,9.535764556955e-06,7.9264113587309e-07,53.308421052632,53.308421052632,10.71,0
0.00027383387795736,0.00043268597192529,9.0820095984963e-06,7.6394253545403e-07,53.469473684211,53.469473684211,10.71,0
0.0002601511008891,0.00041245207589255,8.6282546400376e-06,7.3524393503498e-07,53.630526315789,53.630526315789,10.71,0
0.00024808406919577,0.00039437357940953,8.2280659512692e-06,7.0833541352617e-07,53.791578947368,53.791578947368,10.71,0
0.00023703117440496,0.00037764793855402,7.8614986063502e-06,6.8255045090819e-07,53.952631578947,53.952631578947,10.71,0
0.00022597827961416,0.0003609222976985,7.4949312614312e-06,6.567654882902e-07,54.113684210526,54.113684210526,10.71,0
0.00021490873864408,0.00034417066752521,7.127811806011e-06,6.3093622702302e-07,54.274736842105,54.274736842105,10.71,0
0.00020432537741553,0.00032808648587464,6.776813754083e-06,6.0577471273301e-07,54.435789473684,54.435789473684,10.71,0
0.00019530160720886,0.00031417092197258,6.4775318854513e-06,5.8294345974859e-07,54.596842105263,54.596842105263,10.71,0
0.00018625610968354,0.00030022737037404,6.1775295832024e-06,5.6009494201585e-07,54.757894736842,54.757894736842,10.71,0
0.00017721061215822,0.00028628381877551,5.8775272809535e-06,5.372464242831e-07,54.918947368421,54.918947368421,10.71,0
0.00016838778112463,0.00027265959688562,5.5849094182171e-06,5.1479697406886e-07,55.08,55.08,10.71,0
0.00016090044081881,0.0002609506243971,5.3365813380244e-06,4.9474101811843e-07,55.241052631579,55.241052631579,10.71,0
0.000153413100513,0.00024924165190857,5.0882532578316e-06,4.74685062168e-07,55.402105263158,55.402105263158,10.71,0
0.00014602028264646,0.00023766519343473,4.843059952844e-06,4.5477772512142e-07,55.563157894737,55.563157894737,10.71,0
0.00013908600670407,0.00022676133769254,4.6130745433588e-06,4.3579471081354e-07,55.724210526316,55.724210526316,10.71,0
0.00013278242467243,0.00021678815749272,4.4040067038943e-06,4.1812100229914e-07,55.885263157895,55.885263157895,10.71,0
0.00012647884264079,0.00020681497729289,4.1949388644298e-06,4.0044729378474e-07,56.046315789474,56.046315789474,10.71,0
0.00012017526060915,0.00019684179709307,3.9858710249653e-06,3.8277358527035e-07,56.207368421053,56.207368421053,10.71,0
0.00011433487201762,0.00018755268583273,3.7921660934299e-06,3.6606531698317e-07,56.368421052632,56.368421052632,10.71,0
0.0001092735272239,0.00017943980779767,3.6243011707362e-06,3.5115644739722e-07,56.529473684211,56.529473684211,10.71,0
0.00010435274345024,0.00017154003327463,3.4610985395786e-06,3.3657824293006e-07,56.690526315789,56.690526315789,10.71,0
9.9390537438707e-05,0.00016357812831348,3.2965218423422e-06,3.2190716648177e-07,56.851578947368,56.851578947368,10.71,0
9.4415552439202e-05,0.00015559705577081,3.1315212381711e-06,3.0720743851704e-07,57.012631578947,57.012631578947,10.71,0
8.9810677853573e-05,0.0001481824910851,2.9787986989593e-06,2.9341522170677e-07,57.173684210526,57.173684210526,10.71,0
8.5825536755232e-05,0.00014171651870215,2.8466352354428e-06,2.8114259211001e-07,57.334736842105,57.334736842105,10.71,0
8.1831573212261e-05,0.00013523618656079,2.7141791894297e-06,2.6884248448079e-07,57.495789473684,57.495789473684,10.71,0
