flux0_1,flux0_2,flux0_3,flux2_1,flux2_2,flux2_3,id,x,y,z
0.0020194510450271,0.0036153205691139,0.00070429650820801,0.00015376261923017,0.00025287159672146,4.9371767808134e-05,0,0,0,0
0.0060475251420484,0.015960568161218,0.0033425486573178,1.4152721525121e-05,-3.5693799187115e-06,-7.1014784381293e-07,8.010101010101,8.010101010101,0,0
0.010228912170222,0.028063408496243,0.0059303077565373,3.7631441435691e-06,-2.2311325801386e-06,-5.2312281211297e-07,16.020202020202,16.020202020202,0,0
0.014471712041437,0.04004385558188,0.0084849699527915,9.3368527758752e-07,-1.4175053439712e-06,-3.490140195256e-07,24.030303030303,24.030303030303,0,0
0.018730288167356,0.051947435199839,0.011017510433911,-3.4429198928732e-07,-1.2292005067175e-06,-2.7531960640826e-07,32.040404040404,32.040404040404,0,0
0.022982690664503,0.063785111544808,0.01353267520247,-1.015338791251e-06,-1.2910450605142e-06,-2.600994050472e-07,40.050505050505,40.050505050505,0,0
0.027217319471768,0.075553991482961,0.016031512364691,-1.4320514609146e-06,-1.4498374563792e-06,-2.7451675555501e-07,48.060606060606,48.060606060606,0,0
0.031426950563574,0.087245800570057,0.018513176103345,-1.7426409032354e-06,-1.6451478027727e-06,-3.0280495837443e-07,56.070707070707,56.070707070707,0,0
0.035606186563396,0.098850232563032,0.020975928320602,-2.0088580098482e-06,-1.8533458782159e-06,-3.3717787414262e-07,64.080808080808,64.080808080808,0,0
0.039750393835603,0.11035626047364,0.023417637387671,-2.2559447329127e-06,-2.0652047245868e-06,-3.7400489762948e-07,72.090909090909,72.090909090909,0,0
0.04385526819502,0.12175264874786,0.02583601190581,-2.4939885623018e-06,-2.2770765219033e-06,-4.1164844838945e-07,80.10101010101,80.10101010101,0,0
0.047916661450038,0.13302815564558,0.028228706493496,-2.7268856443567e-06,-2.4874538945767e-06,-4.493792169932e-07,88.111111111111,88.111111111111,0,0
0.05193051446253,0.14417161663416,0.030593368981568,-2.9560383315126e-06,-2.6956435437162e-06,-4.8686748813127e-07,96.121212121212,96.121212121212,0,0
0.055892833095271,0.15517198248069,0.032927661743265,-3.1818579386248e-06,-2.9012597735631e-06,-5.2395488876872e-07,104.13131313131,104.13131313131,0,0
0.059799681197279,0.16601834021133,0.035229271904513,-3.4043675588076e-06,-3.1040330765806e-06,-5.6055516439086e-07,112.14141414141,112.14141414141,0,0
0.063647180261254,0.1766999275963,0.037495916864368,-3.6234410894396e-06,-3.3037385914086e-06,-5.9661208877985e-07,120.15151515152,120.15151515152,0,0
0.067431511644056,0.18720614514904,0.039725347859968,-3.8388970624727e-06,-3.5001697183602e-06,-6.3208196568725e-07,128.16161616162,128.16161616162,0,0
0.071148919737591,0.1975265671128,0.041915352715162,-4.0505351669939e-06,-3.693128573769e-06,-6.6692648455005e-07,136.17171717172,136.17171717172,0,0
0.0747957154625,0.20765095196873,0.044063758238831,-4.2581503959574e-06,-3.8824226557476e-06,-7.0110985696905e-07,144.18181818182,144.18181818182,0,0
0.078368279841542,0.21756925265243,0.04616843246006,-4.4615385630683e-06,-4.0678637723297e-06,-7.3459769491346e-07,152.19191919192,152.19191919192,0,0
0.081863035379188,0.22727153720401,0.048227267816466,-4.6604966719612e-06,-4.2492661146315e-06,-7.6735628668032e-07,160.20202020202,160.20202020202,0,0
0.085276409416204,0.23674788706984,0.050238159584059,-4.8548215665423e-06,-4.4264442023273e-06,-7.9935207581486e-07,168.21212121212,168.21212121212,0,0
0.088605138162456,0.24598924118428,0.052199184996296,-5.0443275339457e-06,-4.5992286107724e-06,-8.3055444273079e-07,176.22222222222,176.22222222222,0,0
0.091845918539196,0.25498642940495,0.054108398139513,-5.2288265518486e-06,-4.7674478845628e-06,-8.6093241664954e-07,184.23232323232,184.23232323232,0,0
0.094995534729927,0.26373052384985,0.055963904507625,-5.408135549878e-06,-4.9309350988224e-06,-8.904558512823e-07,192.24242424242,192.24242424242,0,0
0.098050861370111,0.27221284775308,0.057763862881533,-5.5820766026379e-06,-5.0895280245918e-06,-9.190954496684e-07,200.25252525253,200.25252525253,0,0
0.10100886664722,0.28042498407159,0.059506487155554,-5.7504771100287e-06,-5.2430692897105e-06,-9.4682279173323e-07,208.26262626263,208.26262626263,0,0
0.10386661530802,0.2883587838342,0.061190048109132,-5.9131699677915e-06,-5.3914065341172e-06,-9.7361036245876e-07,216.27272727273,216.27272727273,0,0
0.10662127157012,0.2960063742248,0.062812875122109,-6.069993734485e-06,-5.5343925612088e-06,-9.9943157940151e-07,224.28282828283,224.28282828283,0,0
0.10927010193487,0.30336016639163,0.064373357831879,-6.2207927939097e-06,-5.6718854827076e-06,-1.0242608197246e-06,232.29292929293,232.29292929293,0,0
0.1118104778988,0.31041286297498,0.06586994773077,-6.3654174999799e-06,-5.8037488602439e-06,-1.0480734457606e-06,240.30303030303,240.30303030303,0,0
0.11423987856095,0.3171574653458,0.067301159702081,-6.5037243326467e-06,-5.9298518403443e-06,-1.0708458285369e-06,248.31313131313,248.31313131313,0,0
0.11655589312362,0.32358728054802,0.068665573493244,-6.6355760418994e-06,-6.0500692858731e-06,-1.0925553697518e-06,256.32323232323,256.32323232323,0,0
0.11875622328377,0.32969592793774,0.069961835124666,-6.7608417937384e-06,-6.1642818990305e-06,-1.1131805242393e-06,264.33333333333,264.33333333333,0,0
0.12083868551275,0.33547734551261,0.071188658232838,-6.879397279588e-06,-6.2723763395244e-06,-1.1327008234866e-06,272.34343434343,272.34343434343,0,0
