flux1,flux2,flux3,id,x,y,z
0.013049108474841,0.021641193630947,0.0041826641090963,0,0,0,0
0.023115065113657,0.053100693463933,0.010827372421924,3.030303030303,3.030303030303,0,0
0.033423224480307,0.084073669000893,0.017403417411484,6.0606060606061,6.0606060606061,0,0
0.043892350190831,0.11465918921224,0.023910165141009,9.0909090909091,9.0909090909091,0,0
0.054459546043989,0.14491878487036,0.030349102072121,12.121212121212,12.121212121212,0,0
0.065075752157152,0.17488737032894,0.036722007387593,15.151515151515,15.151515151515,0,0
0.075702265508799,0.20458105895273,0.043030056560928,18.181818181818,18.181818181818,0,0
0.086308087041676,0.23400274183439,0.049273457129078,21.212121212121,21.212121212121,0,0
0.096867920946991,0.2631460613892,0.055451374546266,24.242424242424,24.242424242424,0,0
0.10736067980037,0.29199823665746,0.061562004378747,27.272727272727,27.272727272727,0,0
0.11776837675435,0.32054206950441,0.06760270800227,30.30303030303,30.30303030303,0,0
0.12807531062138,0.34875736811295,0.073570166071045,33.333333333333,33.333333333333,0,0
0.13826747054449,0.37662195698498,0.07946052617797,36.363636363636,36.363636363636,0,0
0.14833210400166,0.40411239421614,0.085269533989339,39.393939393939,39.393939393939,0,0
0.15825740546933,0.43120448198863,0.090992644319659,42.424242424242,42.424242424242,0,0
0.16803229368101,0.45787363128267,0.096625112385702,45.454545454545,45.454545454545,0,0
0.17764625358362,0.48409512399271,0.10216206725881,48.484848484848,48.484848484848,0,0
0.18708922530399,0.5098443029477,0.10759857018958,51.515151515152,51.515151515152,0,0
0.19635152711369,0.53509671132357,0.11292966053353,54.545454545455,54.545454545455,0,0
0.20542380287037,0.55982819655233,0.11815039176809,57.575757575758,57.575757575758,0,0
0.21429690466053,0.58401476434724,0.12325581216871,60.606060606061,60.606060606061,0,0
0.2229617678524,0.60763236149678,0.12824092827434,63.636363636364,63.636363636364,0,0
0.23141016639047,0.63065902371813,0.1331011659687,66.666666666667,66.666666666667,0,0
0.23963380569968,0.6530724580691,0.1378318648998,69.69696969697,69.69696969697,0,0
0.24762463530165,0.67485094042827,0.14242847262162,72.727272727273,72.727272727273,0,0
0.25537484889294,0.69597334519533,0.14688655406598,75.757575757576,75.757575757576,0,0
0.26287688649406,0.71641917170413,0.15120179951161,78.787878787879,78.787878787879,0,0
0.27012343798705,0.73616856816636,0.15537003141425,81.818181818182,81.818181818182,0,0
0.27710744755584,0.75520235370602,0.15938721036687,84.848484848485,84.848484848485,0,0
0.2838221186842,0.77350203886538,0.16324944038769,87.878787878788,87.878787878788,0,0
0.29026091946551,0.79104984483944,0.16695297368004,90.909090909091,90.909090909091,0,0
0.29641758804981,0.80782872161054,0.17049421496825,93.939393939394,93.939393939394,0,0
0.30228613810375,0.82382236509588,0.17386972548447,96.969696969697,96.969696969697,0,0
0.30786086419461,0.83901523338084,0.1770762266597,100,100,0,0
0.31313634703486,0.85339256208311,0.18011060355666,103.0303030303,103.0303030303,0,0
0.31810745854124,0.86694037887452,0.18296990807084,106.06060606061,106.06060606061,0,0
0.32276936667509,0.87964551717466,0.18565136191773,109.09090909091,109.09090909091,0,0
0.32711754003945,0.8914956290222,0.18815235941846,112.12121212121,112.12121212121,0,0
0.33114775221477,0.90247919712451,0.19047047009197,115.15151515152,115.15151515152,0,0
0.33485608581939,0.91258554608254,0.19260344105883,118.18181818182,118.18181818182,0,0
0.33823867585607,0.92180414303862,0.19454904946551,121.21212121212,121.21212121212,0,0
0.34129209568001,0.93012564963177,0.19630532451993,124.24242424242,124.24242424242,0,0
0.34401376513981,0.93754303435568,0.19787078226937,127.27272727273,127.27272727273,0,0
0.34640103967826,0.94404909011095,0.19924390168177,130.30303030303,130.30303030303,0,0
0.34845159966944,0.9496374952914,0.20042334859697,133.33333333333,133.33333333333,0,0
0.35016345266735,0.95430281992687,0.20140797702723,136.36363636364,136.36363636364,0,0
0.35153493533808,0.95804053095911,0.20219683027364,139.39393939394,139.39393939394,0,0
0.35256471507347,0.96084699664574,0.20278914185755,142.42424242424,142.42424242424,0,0
0.35325179128411,0.96271949008849,0.20318433626651,145.45454545455,145.45454545455,0,0
0.35359549637037,0.96365619188219,0.20338202951427,148.48484848485,148.48484848485,0,0
0.35359549637037,0.96365619188219,0.20338202951427,151.51515151515,151.51515151515,0,0
0.35325179128411,0.96271949008849,0.20318433626651,154.54545454545,154.54545454545,0,0
0.35256471507347,0.96084699664574,0.20278914185755,157.57575757576,157.57575757576,0,0
0.35153493533808,0.95804053095911,0.20219683027364,160.60606060606,160.60606060606,0,0
0.35016345266735,0.95430281992687,0.20140797702723,163.63636363636,163.63636363636,0,0
0.34845159966944,0.9496374952914,0.20042334859697,166.66666666667,166.66666666667,0,0
0.34640103967826,0.94404909011095,0.19924390168177,169.69696969697,169.69696969697,0,0
0.34401376513981,0.93754303435568,0.19787078226937,172.72727272727,172.72727272727,0,0
0.34129209568001,0.93012564963178,0.19630532451993,175.75757575758,175.75757575758,0,0
0.33823867585607,0.92180414303862,0.19454904946551,178.78787878788,178.78787878788,0,0
0.33485608581939,0.91258554608254,0.19260344105883,181.81818181818,181.81818181818,0,0
0.33114775221477,0.90247919712451,0.19047047009197,184.84848484848,184.84848484848,0,0
0.32711754003945,0.8914956290222,0.18815235941846,187.87878787879,187.87878787879,0,0
0.32276936667509,0.87964551717466,0.18565136191773,190.90909090909,190.90909090909,0,0
0.31810745854124,0.86694037887452,0.18296990807084,193.93939393939,193.93939393939,0,0
0.31313634703486,0.85339256208311,0.18011060355666,196.9696969697,196.9696969697,0,0
